Week,Asha Bhosle,Mohammed Rafi,Kishore Kumar,Kumar Sanu,Alka Yagnik
2/10/19,16,56,63,59,20
2/17/19,15,51,60,58,21
2/24/19,14,45,55,54,21
3/3/19,14,52,62,60,23
3/10/19,16,51,69,54,21
3/17/19,16,52,64,53,22
3/24/19,13,47,59,48,18
3/31/19,15,48,63,53,21
4/7/19,13,48,65,48,21
4/14/19,14,47,62,50,21
4/21/19,15,50,81,51,21
4/28/19,14,53,70,46,23
5/5/19,14,44,75,51,23
5/12/19,14,48,83,68,26
5/19/19,10,45,72,57,26
5/26/19,14,55,76,78,27
6/2/19,17,58,77,59,27
6/9/19,15,56,84,64,22
6/16/19,17,58,94,66,30
6/23/19,15,59,76,54,25
6/30/19,15,55,76,52,29
7/7/19,14,63,76,62,26
7/14/19,14,69,73,59,29
7/21/19,19,67,78,59,28
7/28/19,17,66,70,63,33
8/4/19,16,55,78,59,30
8/11/19,13,61,80,59,28
8/18/19,12,65,75,56,32
8/25/19,14,66,73,55,33
9/1/19,11,57,65,51,23
9/8/19,12,48,63,51,25
9/15/19,19,66,74,60,31
9/22/19,9,58,74,54,34
9/29/19,14,45,65,57,30
10/6/19,15,63,73,59,33
10/13/19,15,68,87,48,23
10/20/19,17,46,71,49,20
10/27/19,11,56,67,59,24
11/3/19,8,64,97,43,27
11/10/19,8,64,81,47,15
11/17/19,23,67,88,56,26
11/24/19,17,67,80,61,22
12/1/19,16,51,91,52,27
12/8/19,15,59,80,52,26
12/15/19,15,45,73,62,34
12/22/19,21,56,100,51,17
12/29/19,12,57,95,61,24
1/5/20,24,62,78,54,31
1/12/20,10,63,89,59,25
1/19/20,14,54,93,56,34
1/26/20,10,55,86,49,24
2/2/20,12,55,73,58,25
2/9/20,14,56,90,59,18
2/16/20,19,67,88,47,16
2/23/20,15,62,95,58,23
3/1/20,12,71,94,47,16
3/8/20,19,58,81,31,16
3/15/20,12,54,88,47,28
3/22/20,22,44,84,44,16
3/29/20,12,47,76,42,19
4/5/20,21,49,74,45,21
